Book,Date,Weeks,Rank
Let us Dream,12/20/2020,1,15
Modern Warriors,12/20/2020,2,7
No Time Like the Future,12/20/2020,3,10
Saving Freedom,12/20/2020,2,11
Splendid and Vile,12/20/2020,27,14
Untamed,12/20/2020,39,5
A Promised Land,12/13/2020,2,1
Becoming,12/13/2020,87,4
Caste,12/13/2020,17,7
Dolly Parton Songteller,12/13/2020,2,3
Greenlights,12/13/2020,6,2
Hillbilly Elegy,12/13/2020,88,12
Humans,12/13/2020,6,11
Is this anything,12/13/2020,6,10
Modern Warriors,12/13/2020,1,5
My Own Words,12/13/2020,9,14
No Time Like the Future,12/13/2020,2,6
Saving Freedom,12/13/2020,1,8
The Answer is,12/13/2020,6,13
Uncomfortable Conversations,12/13/2020,3,15
Untamed,12/13/2020,38,9
A Promised Land,12/6/2020,1,1
Becoming,12/6/2020,86,6
Caste,12/6/2020,16,7
Dolly Parton Songteller,12/6/2020,1,3
First Principles,12/6/2020,2,13
Frontier Follies,12/6/2020,1,5
Greenlights,12/6/2020,5,2
HRH,12/6/2020,1,10
Humans,12/6/2020,5,15
My Own Words,12/6/2020,8,14
No Time Like the Future,12/6/2020,1,4
The Answer is,12/6/2020,5,9
The Best of Me,12/6/2020,3,11
Uncomfortable Conversations,12/6/2020,2,12
Untamed,12/6/2020,37,8
Blackout,11/29/2020,9,12
Caste,11/29/2020,15,5
First Principles,11/29/2020,1,4
Greenlights,11/29/2020,4,2
Humans,11/29/2020,4,1
Killing Crazy Horse,11/29/2020,10,11
My Own Words,11/29/2020,7,14
Pappyland,11/29/2020,1,8
Shade,11/29/2020,13,13
The Answer is,11/29/2020,4,7
The Best of Me,11/29/2020,2,9
The Greatest Beer Run Ever,11/29/2020,1,15
The Truths We Told,11/29/2020,6,10
Uncomfortable Conversations,11/29/2020,1,3
Untamed,11/29/2020,36,6
Blackout,11/22/2020,8,9
Caste,11/22/2020,14,4
Clanlands,11/22/2020,1,1
Eleanor,11/22/2020,1,10
Greenlights,11/22/2020,3,2
How to be an Antiracist,11/22/2020,27,11
Humans,11/22/2020,3,13
Is this anything,11/22/2020,5,15
Killing Crazy Horse,11/22/2020,9,8
My Own Words,11/22/2020,6,14
Obama,11/22/2020,19,7
Shade,11/22/2020,12,5
The Best of Me,11/22/2020,1,3
Untamed,11/22/2020,35,6
White Fragility,11/22/2020,31,12
American Crisis,11/15/2020,2,12
Blackout,11/15/2020,7,8
Caste,11/15/2020,13,3
